# Extracted from http://www.earthbyte.org/Resources/ICONS/ch4.html#x1-960004.3.4
# latitude longitude sediment_thickness(meters)
-39.75000 290.15000 1703.19331
-39.75000 290.20000 1649.63198
-39.75000 290.25000 1584.27048
-39.75000 290.30000 1513.20386
-39.75000 290.35000 1467.10443
-39.75000 290.40000 1422.78433
-39.75000 290.45000 1404.89829
-39.75000 290.50000 1379.09257
-39.75000 290.55000 1316.12253
-39.75000 290.60000 1232.35643
-39.75000 290.65000 1118.05165
-39.75000 290.70000 977.10335
-39.75000 290.75000 717.53383
-39.75000 290.80000 436.66542
-39.75000 290.85000 212.21495
-39.75000 290.90000 nan
-39.75000 290.95000 nan
-39.75000 291.00000 nan
-39.75000 291.05000 nan
-39.75000 291.10000 nan
-39.75000 291.15000 nan
-39.75000 291.20000 nan
-39.75000 291.25000 nan
-39.75000 291.30000 nan
-39.75000 291.35000 nan
-39.75000 291.40000 nan
-39.75000 291.45000 nan
-39.75000 291.50000 nan
-39.75000 291.55000 nan
-39.75000 291.60000 nan
-39.75000 291.65000 nan
-39.75000 291.70000 nan
-39.75000 291.75000 nan
-39.75000 291.80000 nan
-39.75000 291.85000 nan
-39.75000 291.90000 nan
-39.75000 291.95000 nan
-39.75000 292.00000 nan
-39.75000 292.05000 nan
-39.75000 292.10000 nan
-39.75000 292.15000 nan
-39.75000 292.20000 nan
-39.75000 292.25000 nan
-39.75000 292.30000 nan
-39.75000 292.35000 nan
-39.75000 292.40000 nan
-39.75000 292.45000 nan
-39.75000 292.50000 nan
-39.75000 292.55000 nan
-39.75000 292.60000 nan
-39.75000 292.65000 nan
-39.75000 292.70000 nan
-39.75000 292.75000 nan
-39.75000 292.80000 nan
-39.75000 292.85000 nan
-39.75000 292.90000 nan
-39.75000 292.95000 nan
-39.75000 293.00000 nan
-39.75000 293.05000 nan
-39.75000 293.10000 nan
-39.75000 293.15000 nan
-39.75000 293.20000 nan
-39.75000 293.25000 nan
-39.75000 293.30000 nan
-39.75000 293.35000 nan
-39.75000 293.40000 nan
-39.75000 293.45000 nan
-39.75000 293.50000 nan
-39.75000 293.55000 nan
-39.75000 293.60000 nan
-39.75000 293.65000 nan
-39.70000 289.15000 nan
-39.70000 289.20000 nan
-39.70000 289.25000 nan
-39.70000 289.30000 57.71136
-39.70000 289.35000 798.42997
-39.70000 289.40000 1054.57854
-39.70000 289.45000 1176.91278
-39.70000 289.50000 1250.33021
-39.70000 289.55000 1312.05797
-39.70000 289.60000 1376.21188
-39.70000 289.65000 1441.70403
-39.70000 289.70000 1492.76257
-39.70000 289.75000 1503.82090
-39.70000 289.80000 1589.71870
-39.70000 289.85000 1708.77647
-39.70000 289.90000 1830.42932
-39.70000 289.95000 1920.33148
-39.70000 290.00000 1938.90357
-39.70000 290.05000 1943.73345
-39.70000 290.10000 1936.42342
-39.70000 290.15000 1910.70008
-39.70000 290.20000 1847.43881
-39.70000 290.25000 1770.90764
-39.70000 290.30000 1694.58771
-39.70000 290.35000 1628.24059
-39.70000 290.40000 1566.61546
-39.70000 290.45000 1567.68477
-39.70000 290.50000 1559.85236
-39.70000 290.55000 1531.58247
-39.70000 290.60000 1489.39514
-39.70000 290.65000 1375.86188
-39.70000 290.70000 1254.15301
-39.70000 290.75000 1107.94127
-39.70000 290.80000 955.62565
-39.70000 290.85000 649.00053
-39.70000 290.90000 317.24954
-39.70000 290.95000 nan
-39.70000 291.00000 nan
-39.70000 291.05000 nan
-39.70000 291.10000 nan
-39.70000 291.15000 nan
-39.70000 291.20000 nan
-39.70000 291.25000 nan
-39.70000 291.30000 nan
-39.70000 291.35000 nan
-39.70000 291.40000 nan
-39.70000 291.45000 nan
-39.70000 291.50000 nan
-39.70000 291.55000 nan
-39.70000 291.60000 nan
-39.70000 291.65000 nan
-39.70000 291.70000 nan
-39.70000 291.75000 nan
-39.70000 291.80000 nan
-39.70000 291.85000 nan
-39.70000 291.90000 nan
-39.70000 291.95000 nan
-39.70000 292.00000 nan
-39.70000 292.05000 nan
-39.70000 292.10000 nan
-39.70000 292.15000 nan
-39.70000 292.20000 nan
-39.70000 292.25000 nan
-39.70000 292.30000 nan
-39.70000 292.35000 nan
-39.70000 292.40000 nan
-39.70000 292.45000 nan
-39.70000 292.50000 nan
-39.70000 292.55000 nan
-39.70000 292.60000 nan
-39.70000 292.65000 nan
-39.70000 292.70000 nan
-39.70000 292.75000 nan
-39.70000 292.80000 nan
-39.70000 292.85000 nan
-39.70000 292.90000 nan
-39.70000 292.95000 nan
-39.70000 293.00000 nan
-39.70000 293.05000 nan
-39.70000 293.10000 nan
-39.70000 293.15000 nan
-39.70000 293.20000 nan
-39.70000 293.25000 nan
-39.70000 293.30000 nan
-39.70000 293.35000 nan
-39.70000 293.40000 nan
-39.70000 293.45000 nan
-39.70000 293.50000 nan
-39.70000 293.55000 nan
-39.70000 293.60000 nan
-39.70000 293.65000 nan
-39.65000 289.15000 nan
-39.65000 289.20000 nan
-39.65000 289.25000 nan
-39.65000 289.30000 430.30429
-39.65000 289.35000 950.66035
-39.65000 289.40000 1158.54800
-39.65000 289.45000 1245.11409
-39.65000 289.50000 1297.05763
-39.65000 289.55000 1346.74716
-39.65000 289.60000 1404.42395
-39.65000 289.65000 1468.04380
-39.65000 289.70000 1506.35362
-39.65000 289.75000 1548.86270
-39.65000 289.80000 1650.46275
-39.65000 289.85000 1797.99616
-39.65000 289.90000 1964.75804
-39.65000 289.95000 2076.69353
-39.65000 290.00000 2142.92622
-39.65000 290.05000 2161.35311
